0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,320,,,,,
0,HeartMode,１,,,,,,,
0,TLPause,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,Sound,Ding,,,,,,,
0,SansAnimation,,,,,,,,
0,BoneV3,320,230,1,0,0,0,157
0,BoneV3,330,230,1,0,0,0,157
0,BoneV3,310,230,1,0,0,0,157
0,BoneV3,340,230,1,0,0,0,157
0,BoneV3,350,230,1,0,0,0,157
0,BoneV3,360,230,1,0,0,0,157
0,BoneV3,370,230,1,0,0,0,157
0,BoneV3,380,230,1,0,0,0,157
0,BoneV3,390,230,1,0,0,0,157
0,BoneV3,260,230,1,0,0,0,157
0,BoneV3,270,230,1,0,0,0,157
0,BoneV3,250,230,1,0,0,0,157
0,BoneV3,240,230,1,0,0,0,157
0,BoneV3,300,230,1,0,0,0,137
0,BoneV3,290,230,1,0,0,0,137
0,BoneV3,280,230,1,0,0,0,157
3.4,EndAttack,,,,,,,










