0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,552,346,51,2,120,8,140,
0,PlatformRepeat,-20,306,51,0,120,8,160,
0,SET,Loop,5,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,BoneV,128,$Y,40,2,500,1
0,GasterBlaster,0,0,0,73,$Y,0,0.3,0.111
0.9,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,BoneV,128,$Y,40,0,500,1
0,GasterBlaster,0,640,0,563,$Y,180,0.3,0.111
0.8,JMPNZ,8,$Loop,,,,,,
2.51,sansslam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0.11,BoneStab,1,35,0.3,99999,,,,
1.01,sansslam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0.11,BoneStab,3,35,0.3,99999,,,,
1.01,HeartMode,0,,,,,,,
0,Sound,Ding,,,,,,,
0,SansAnimation,,,,,,,,
1,BoneV,128,240,3000,0,280,1
0.2,BoneV,503,240,3000,2,280,2
0.2,BoneV,128,240,3000,0,280,1
0.2,BoneV,503,240,3000,2,280,2
2,EndAttack,,,,,,,,
